id,id_person,name,surname,zip,city,country,email,birth_date,id_account,account_type,id_transaction,transaction_type,transaction_date,transaction_amount
15,159,Abdennebi,Abdelli,10159,Necochea,Argentina,abdennebi.abdelli@bestdomain.com,7/19/47,1374,Business,1374,P1,2020-05-06,29.1141
16,159,Abdennebi,Abdelli,10159,Necochea,Argentina,abdennebi.abdelli@bestdomain.com,7/19/47,1374,Business,2169,P1,2020-02-04,34.8681
17,166,Abderazzak,Abdessamie,10166,Luján,Argentina,abderazzak.abdessamie@bestdomain.com,3/27/66,934,Basic,934,P3,2020-05-13,35.6756
18,176,Abderrahman,Abdrakhimoff,10176,Formosa,Argentina,abderrahman.abdrakhimoff@bestdomain.com,06.07.22,1663,Business,2439,P1,2020-03-25,19.3487
19,204,Abdesslem,Abdulkhabiroff,10204,Villa Allende,Argentina,abdesslem.abdulkhabiroff@bestdomain.com,09.05.39,801,Business Premium,801,P3,2020-02-18,37.4118
20,225,Abdulaziz,Abechuco,10225,San Ramón de la Nueva Orán,Argentina,abdulaziz.abechuco@bestdomain.com,02.07.92,1093,Basic,1093,P3,2020-04-15,10.5825
21,225,Abdulaziz,Abechuco,10225,San Ramón de la Nueva Orán,Argentina,abdulaziz.abechuco@bestdomain.com,02.07.92,1093,Basic,1888,P1,2020-05-13,39.1561
22,241,Abenaura,Abelein,10241,Rufino,Argentina,abenaura.abelein@bestdomain.com,3/27/66,873,Basic,873,P3,2020-03-09,29.7095
23,243,Abencio,Abelen,10243,Río Tercero,Argentina,abencio.abelen@bestdomain.com,04.02.69,1603,Business,2398,P1,2020-04-20,9.5583
24,255,Abimael,Abellon,10255,Plottier,Argentina,abimael.abellon@bestdomain.com,10.07.40,791,Business Premium,791,P3,2020-04-15,30.1222
25,278,Abu,Aberkane,10278,Granadero Baigorria,Argentina,abu.aberkane@bestdomain.com,11.05.38,1474,Business,2269,P1,2020-02-21,12.3738
26,284,Abubaker,Aberlieb,10284,Gálvez,Argentina,abubaker.aberlieb@bestdomain.com,7/19/47,1727,Business,1727,P4,2020-01-30,18.2209
27,300,Achiuta,Abian,10300,Córdoba,Argentina,achiuta.abian@bestdomain.com,02.07.92,1206,Business,2001,P1,2020-04-30,33.5275
28,316,Adahi,Abinzano,10316,Cañada de Gómez,Argentina,adahi.abinzano@bestdomain.com,3/27/66,1015,Basic,1015,P3,2020-03-25,15.623
29,316,Adahi,Abinzano,10316,Cañada de Gómez,Argentina,adahi.abinzano@bestdomain.com,3/27/66,1015,Basic,1810,P4,2020-04-07,34.9862
30,335,Adamo,Ablassmeier,10335,Wiener Neustadt,Austria,adamo.ablassmeier@bestdomain.com,11.01.48,1660,Business,2439,P1,2020-03-09,27.949
31,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,263,P1,2020-02-17,11.3398
32,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,264,P1,2020-02-18,12.3439
33,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,265,P1,2020-02-21,10.8722
34,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,266,P1,2020-02-24,14.7201
35,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,267,P1,2020-03-02,11.3519
36,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,268,P1,2020-03-06,20.4717
37,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,269,P1,2020-03-09,5.6052
38,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,270,P1,2020-03-11,21.1068
39,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,271,P2,2020-03-19,26.7201
40,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,272,P2,2020-03-25,39.2573
41,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,273,P2,2020-03-27,19.9725
42,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,274,P2,2020-03-30,19.2702
43,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,275,P2,2020-03-31,11.4029
44,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,276,P2,2020-04-07,37.8439
45,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,277,P2,2020-04-09,6.165
46,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,278,P2,2020-04-15,4.178
47,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,279,P2,2020-04-20,37.0922
48,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,280,P2,2020-04-30,36.983
49,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,281,P2,2020-05-06,14.6974
50,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,282,P2,2020-05-13,0.6294
51,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,283,P2,2020-05-28,2.1731
52,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,284,P2,2020-01-30,0.3487
53,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,285,P2,2020-02-04,20.2047
54,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,286,P2,2020-02-05,14.2856
55,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,287,P2,2020-02-17,3.8439
56,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,288,P2,2020-02-18,7.0663
57,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,289,P2,2020-02-21,9.8932
58,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,290,P2,2020-02-24,37.5615
59,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,291,P2,2020-03-02,10.2403
60,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,292,P2,2020-03-06,28.5437
61,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,293,P2,2020-03-09,25.9118
62,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,294,P2,2020-03-11,17.3479
63,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,295,P2,2020-03-19,13.7791
64,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,296,P2,2020-03-25,23.0906
65,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,297,P2,2020-03-27,18.4765
66,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,298,P2,2020-03-30,12.4134
67,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,299,P2,2020-03-31,22.3439
68,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,300,P2,2020-04-07,11.0914
69,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,301,P2,2020-04-09,32.555
70,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,302,P2,2020-04-15,38.0154
71,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,303,P2,2020-04-20,9.1553
72,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,304,P2,2020-04-30,1.6569999999999998
73,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,305,P2,2020-05-06,37.5736
74,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,306,P2,2020-05-13,14.2848
75,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,307,P2,2020-05-28,15.4506
76,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,308,P2,2020-01-30,32.1286
77,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,309,P2,2020-02-04,16.5307
78,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,310,P2,2020-02-05,16.1845
79,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,311,P2,2020-02-17,39.8034
80,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,312,P2,2020-02-18,9.479
81,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,313,P2,2020-02-21,6.1788
82,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,314,P2,2020-02-24,28.7702
83,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,315,P2,2020-03-02,15.7225
84,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,316,P2,2020-03-06,21.6756
85,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,317,P2,2020-03-09,38.5089
86,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,318,P2,2020-03-11,6.3212
87,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,319,P2,2020-03-19,13.0429
88,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,320,P2,2020-03-25,36.4037
89,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,321,P2,2020-03-27,22.767
90,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,322,P2,2020-03-30,23.4401
91,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,323,P2,2020-03-31,38.6861
92,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,324,P2,2020-04-07,35.1464
93,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,325,P2,2020-04-09,12.2929
94,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,326,P2,2020-04-15,17.4741
95,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,327,P2,2020-01-30,28.4555
96,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,328,P2,2020-02-04,24.055
97,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,329,P2,2020-02-05,29.3091
98,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,330,P2,2020-02-17,1.2783
99,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,331,P2,2020-02-18,22.2994
100,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,332,P2,2020-02-21,7.75
101,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,333,P2,2020-02-24,23.5623
102,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,334,P2,2020-03-02,26.2613
103,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,335,P2,2020-03-06,4.9838
104,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,336,P2,2020-03-09,4.0769
105,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,337,P2,2020-03-11,19.8366
106,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,338,P2,2020-03-19,0.6942
107,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,339,P2,2020-03-25,2.8641
108,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,340,P2,2020-03-27,36.9385
109,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,341,P2,2020-03-30,29.7201
110,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,342,P2,2020-03-31,25.5922
111,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,343,P2,2020-04-07,33.0073
112,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,344,P2,2020-04-09,24.7055
113,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,345,P2,2020-04-15,33.5655
114,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,346,P2,2020-04-20,33.0154
115,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,347,P2,2020-04-30,8.1699
116,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,348,P2,2020-05-06,36.1092
117,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,349,P2,2020-05-13,37.9547
118,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,350,P2,2020-05-28,12.6125
119,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,351,P2,2020-01-30,16.2006
120,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,352,P2,2020-02-04,32.9466
121,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,353,P2,2020-02-05,23.6068
122,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,354,P2,2020-02-17,15.4968
123,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,355,P2,2020-02-18,22.6117
124,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,356,P2,2020-02-21,14.5356
125,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,357,P2,2020-02-24,7.5882
126,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,358,P2,2020-03-02,2.0081
127,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,359,P2,2020-03-06,39.5858
128,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,360,P2,2020-03-09,34.9927
129,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,361,P2,2020-03-11,31.4879
130,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,362,P2,2020-03-19,32.3495
131,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,363,P2,2020-03-25,5.4636
132,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,364,P2,2020-03-27,29.6901
133,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,365,P2,2020-03-30,16.9393
134,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,366,P2,2020-03-31,2.0841
135,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,367,P2,2020-04-07,20.1448
136,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,368,P2,2020-04-09,15.8706
137,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,369,P2,2020-04-15,27.5186
138,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,370,P2,2020-04-20,21.6222
139,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,371,P2,2020-04-30,8.3827
140,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,372,P2,2020-05-06,31.1837
141,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,373,P2,2020-05-13,13.6659
142,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,374,P2,2020-05-28,16.6141
143,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,375,P2,2020-01-30,9.284
144,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,376,P2,2020-02-04,26.0332
145,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,377,P2,2020-02-05,9.3139
146,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,378,P2,2020-02-17,20.0
147,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,379,P2,2020-02-18,8.318
148,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,380,P2,2020-02-21,23.5065
149,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,381,P2,2020-02-24,34.9256
150,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,382,P2,2020-03-02,10.4895
151,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,383,P2,2020-03-06,1.055
152,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,384,P2,2020-03-09,22.949
153,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,385,P2,2020-03-11,28.9466
154,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,386,P2,2020-03-19,37.4134
155,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,387,P2,2020-03-25,17.784000000000006
156,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,388,P2,2020-03-27,16.8681
157,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,389,P2,2020-03-30,16.843
158,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,390,P2,2020-03-31,0.4005
159,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,391,P2,2020-04-07,5.2549
160,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,392,P2,2020-04-09,8.7921
161,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,393,P2,2020-04-15,0.4604
162,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,394,P2,2020-04-20,14.9134
163,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,395,P2,2020-04-30,9.0623
164,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,396,P2,2020-05-06,22.394
165,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,397,P2,2020-05-13,33.8471
166,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,398,P2,2020-05-28,37.6214
167,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,399,P2,2020-01-30,36.7638
168,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,400,P2,2020-02-04,1.2168
169,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,401,P2,2020-02-05,22.038
170,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,402,P2,2020-02-17,5.5631
171,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,403,P2,2020-02-18,14.3261
172,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,404,P2,2020-02-21,22.3673
173,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,405,P2,2020-02-24,22.0761
174,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,406,P2,2020-03-02,22.343000000000004
175,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,407,P2,2020-03-06,7.5089
176,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,408,P2,2020-03-09,33.6481
177,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,409,P2,2020-03-11,3.4604
178,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,410,P2,2020-03-19,24.7387
179,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,411,P2,2020-03-25,35.2184
180,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,412,P2,2020-03-27,21.0073
181,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,413,P2,2020-03-30,18.678
182,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,414,P2,2020-03-31,40.0914
183,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,415,P2,2020-04-07,32.3269
184,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,416,P2,2020-04-09,14.8536
185,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,417,P2,2020-04-15,20.0243
186,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,418,P2,2020-04-20,3.915
187,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,419,P2,2020-04-30,36.6011
188,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,420,P2,2020-05-06,7.5
189,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,421,P2,2020-05-13,10.623
190,345,,Abloff,10345,Schwechat,Austria,eastegg.abloff@bestdomain.com,4/19/80,229,Business Premium,422,P2,2020-05-28,33.7977
